/home/gsnearing/projects/SACSMA-SNOW17
Using 40 cores of 40 total.
Initializing the  Dynamically Dimensioned Search (DDS) algorithm  with  100000  repetitions
The objective function will be minimized
Starting the DDS algotrithm with 100000 repetitions...
Finding best starting point for trial 1 using 500 random samples.
Initialize database...
['csv', 'hdf5', 'ram', 'sql', 'custom', 'noData']
1156 of 100000, maximal objective function=20.0493, time remaining: 07:31:02
1164 of 100000, maximal objective function=20.0493, time remaining: 07:30:59
1172 of 100000, maximal objective function=20.0493, time remaining: 07:30:54
1180 of 100000, maximal objective function=20.0493, time remaining: 07:30:51
1188 of 100000, maximal objective function=20.0493, time remaining: 07:30:47
1196 of 100000, maximal objective function=20.0493, time remaining: 07:30:43
1204 of 100000, maximal objective function=20.0672, time remaining: 07:30:40
1212 of 100000, maximal objective function=20.0672, time remaining: 07:30:38
1220 of 100000, maximal objective function=20.0672, time remaining: 07:30:37
1228 of 100000, maximal objective function=20.1058, time remaining: 07:30:36
1236 of 100000, maximal objective function=20.1058, time remaining: 07:30:32
1244 of 100000, maximal objective function=20.1564, time remaining: 07:30:29
1252 of 100000, maximal objective function=20.1564, time remaining: 07:30:25
1260 of 100000, maximal objective function=20.1564, time remaining: 07:30:21
1268 of 100000, maximal objective function=20.1564, time remaining: 07:30:19
1275 of 100000, maximal objective function=20.1564, time remaining: 07:30:35
1281 of 100000, maximal objective function=20.1564, time remaining: 07:31:07
1289 of 100000, maximal objective function=20.1564, time remaining: 07:31:03
1297 of 100000, maximal objective function=20.1564, time remaining: 07:30:59
1305 of 100000, maximal objective function=20.1564, time remaining: 07:30:55
1313 of 100000, maximal objective function=20.1564, time remaining: 07:30:51
1321 of 100000, maximal objective function=20.1564, time remaining: 07:30:48
1329 of 100000, maximal objective function=20.1564, time remaining: 07:30:44
1337 of 100000, maximal objective function=20.1564, time remaining: 07:30:41
1345 of 100000, maximal objective function=20.1564, time remaining: 07:30:37
1353 of 100000, maximal objective function=20.1564, time remaining: 07:30:33
1361 of 100000, maximal objective function=20.1564, time remaining: 07:30:29
1369 of 100000, maximal objective function=20.1564, time remaining: 07:30:26
1377 of 100000, maximal objective function=20.1911, time remaining: 07:30:22
1385 of 100000, maximal objective function=20.1911, time remaining: 07:30:18
1393 of 100000, maximal objective function=20.1911, time remaining: 07:30:14
1401 of 100000, maximal objective function=20.1911, time remaining: 07:30:11
1409 of 100000, maximal objective function=20.1911, time remaining: 07:30:09
1417 of 100000, maximal objective function=20.1911, time remaining: 07:30:07
1425 of 100000, maximal objective function=20.1911, time remaining: 07:30:04
1433 of 100000, maximal objective function=20.1911, time remaining: 07:30:01
1441 of 100000, maximal objective function=20.1911, time remaining: 07:29:57
1449 of 100000, maximal objective function=20.1911, time remaining: 07:29:54
1457 of 100000, maximal objective function=20.1911, time remaining: 07:29:59
1464 of 100000, maximal objective function=20.1911, time remaining: 07:30:11
1472 of 100000, maximal objective function=20.1911, time remaining: 07:30:08
1480 of 100000, maximal objective function=20.1911, time remaining: 07:30:04
1488 of 100000, maximal objective function=20.1911, time remaining: 07:30:01
1496 of 100000, maximal objective function=20.1911, time remaining: 07:29:57
1504 of 100000, maximal objective function=20.1911, time remaining: 07:29:54
1512 of 100000, maximal objective function=20.1911, time remaining: 07:29:51
1520 of 100000, maximal objective function=20.1911, time remaining: 07:29:49
1528 of 100000, maximal objective function=20.1911, time remaining: 07:29:47
1536 of 100000, maximal objective function=20.1911, time remaining: 07:29:44
1544 of 100000, maximal objective function=20.1911, time remaining: 07:29:40
1552 of 100000, maximal objective function=20.1911, time remaining: 07:29:37
1560 of 100000, maximal objective function=20.1911, time remaining: 07:29:33
1568 of 100000, maximal objective function=20.1911, time remaining: 07:29:29
1576 of 100000, maximal objective function=20.1911, time remaining: 07:29:26
1584 of 100000, maximal objective function=20.1911, time remaining: 07:29:22
1592 of 100000, maximal objective function=20.1911, time remaining: 07:29:21
1600 of 100000, maximal objective function=20.1911, time remaining: 07:29:21
1608 of 100000, maximal objective function=20.1911, time remaining: 07:29:18
1616 of 100000, maximal objective function=20.1911, time remaining: 07:29:14
1624 of 100000, maximal objective function=20.2088, time remaining: 07:29:11
1632 of 100000, maximal objective function=20.2088, time remaining: 07:29:07
1640 of 100000, maximal objective function=20.2088, time remaining: 07:29:12
1646 of 100000, maximal objective function=20.2088, time remaining: 07:29:31
1654 of 100000, maximal objective function=20.2088, time remaining: 07:29:30
1662 of 100000, maximal objective function=20.2088, time remaining: 07:29:28
1670 of 100000, maximal objective function=20.2215, time remaining: 07:29:24
1678 of 100000, maximal objective function=20.2215, time remaining: 07:29:21
1686 of 100000, maximal objective function=20.2215, time remaining: 07:29:18
1694 of 100000, maximal objective function=20.2215, time remaining: 07:29:17
1702 of 100000, maximal objective function=20.2215, time remaining: 07:29:15
1710 of 100000, maximal objective function=20.2215, time remaining: 07:29:11
1718 of 100000, maximal objective function=20.2215, time remaining: 07:29:08
1726 of 100000, maximal objective function=20.2215, time remaining: 07:29:09
1734 of 100000, maximal objective function=20.2215, time remaining: 07:29:07
1742 of 100000, maximal objective function=20.2215, time remaining: 07:29:04
1750 of 100000, maximal objective function=20.2315, time remaining: 07:29:00
1758 of 100000, maximal objective function=20.2315, time remaining: 07:28:57
1766 of 100000, maximal objective function=20.2315, time remaining: 07:28:53
1774 of 100000, maximal objective function=20.2315, time remaining: 07:28:49
1782 of 100000, maximal objective function=20.2315, time remaining: 07:28:46
1790 of 100000, maximal objective function=20.2318, time remaining: 07:28:43
1798 of 100000, maximal objective function=20.2319, time remaining: 07:28:40
1806 of 100000, maximal objective function=20.2335, time remaining: 07:28:36
1814 of 100000, maximal objective function=20.2335, time remaining: 07:28:33
1822 of 100000, maximal objective function=20.2335, time remaining: 07:28:30
1830 of 100000, maximal objective function=20.2335, time remaining: 07:28:27
1837 of 100000, maximal objective function=20.2335, time remaining: 07:28:30
1845 of 100000, maximal objective function=20.2335, time remaining: 07:28:27
1853 of 100000, maximal objective function=20.2335, time remaining: 07:28:23
1861 of 100000, maximal objective function=20.2335, time remaining: 07:28:20
1869 of 100000, maximal objective function=20.2335, time remaining: 07:28:18
1877 of 100000, maximal objective function=20.2335, time remaining: 07:28:15
1885 of 100000, maximal objective function=20.2335, time remaining: 07:28:11
1893 of 100000, maximal objective function=20.2335, time remaining: 07:28:08
1901 of 100000, maximal objective function=20.2335, time remaining: 07:28:05
1909 of 100000, maximal objective function=20.2335, time remaining: 07:28:02
1917 of 100000, maximal objective function=20.2335, time remaining: 07:27:59
1925 of 100000, maximal objective function=20.2335, time remaining: 07:27:56
1933 of 100000, maximal objective function=20.2335, time remaining: 07:27:54
1941 of 100000, maximal objective function=20.2335, time remaining: 07:27:51
1949 of 100000, maximal objective function=20.2335, time remaining: 07:27:48
1957 of 100000, maximal objective function=20.2335, time remaining: 07:27:45
1965 of 100000, maximal objective function=20.2464, time remaining: 07:27:42
1973 of 100000, maximal objective function=20.2464, time remaining: 07:27:39
1981 of 100000, maximal objective function=20.2464, time remaining: 07:27:35
1989 of 100000, maximal objective function=20.2464, time remaining: 07:27:32
1997 of 100000, maximal objective function=20.2464, time remaining: 07:27:30
2005 of 100000, maximal objective function=20.2464, time remaining: 07:27:26
2013 of 100000, maximal objective function=20.2464, time remaining: 07:27:24
2018 of 100000, maximal objective function=20.2464, time remaining: 07:28:03
2026 of 100000, maximal objective function=20.2464, time remaining: 07:28:00
2034 of 100000, maximal objective function=20.2464, time remaining: 07:27:56
2042 of 100000, maximal objective function=20.2464, time remaining: 07:27:54
2050 of 100000, maximal objective function=20.2464, time remaining: 07:27:52
2058 of 100000, maximal objective function=20.2464, time remaining: 07:27:49
2066 of 100000, maximal objective function=20.2464, time remaining: 07:27:46
2074 of 100000, maximal objective function=20.2464, time remaining: 07:27:44
